vehicleID,totalTime,distanceTraveled,euclideanDistance,manhattanDistance,junctionCount,timeSpentQueueing,maxSpeed,averageSpeed,algorithm
21,96.0042,75.0703,72.37054,98.25169,0,13.44918,0,0,Random Vehicle
65,157.5202,73.361,49.98535,69.79465,0,13.44918,0,0,Random Vehicle
51,252.0432,154.6153,120.031,161.2215,0,72.56572,0,0,Random Vehicle
2,285.3765,226.2929,204.9744,265.8941,1,42.80631,0,0,Random Vehicle
3,285.3765,478.1596,475.7871,663.8881,0,0,0,0,Random Vehicle
61,268.7098,281.0327,269.0551,328.6884,1,72.92216,0,0,Random Vehicle
17,285.3765,517.2786,448.7099,528.7726,0,66.66667,0,0,Random Vehicle
5,316.5638,360.6742,276.1909,356.1738,0,13.26711,0,0,Random Vehicle
31,316.5638,473.8299,390.039,397.6914,0,50,0,0,Random Vehicle
66,348.4408,499.3604,340.33,430.8824,0,16.66667,0,0,Random Vehicle
78,411.2571,380.4238,243.4776,334.629,0,66.66667,0,0,Random Vehicle
48,442.3789,388.8344,288.7941,299.3197,0,116.6667,0,0,Random Vehicle
92,442.3789,426.0932,258.3772,278.4631,0,116.6667,0,0,Random Vehicle
33,488.6713,439.4414,302.7388,369.6778,1,89.20082,0,0,Random Vehicle
41,505.3379,592.6952,560.4631,570.2325,0,83.33334,0,0,Random Vehicle
88,505.3379,516.3188,422.6505,501.5126,0,100,0,0,Random Vehicle
15,536.7767,409.1707,133.453,186.5768,1,50,0,0,Random Vehicle
28,536.7767,526.572,336.4388,455.109,0,50,0,0,Random Vehicle
68,582.202,416.7375,256.7437,304.328,2,61.86826,0,0,Random Vehicle
24,629.0937,736.8461,357.27,413.6645,0,83.33334,0,0,Random Vehicle
34,629.0937,505.709,307.4621,402.1911,0,150,0,0,Random Vehicle
49,629.0937,655.0084,529.7397,543.9325,0,100,0,0,Random Vehicle
57,662.4271,663.534,247.0954,347.3411,0,100,0,0,Random Vehicle
71,662.4271,632.066,393.9096,495.7244,0,83.33334,0,0,Random Vehicle
83,662.4271,656.9628,280.3802,361.9188,1,83.33334,0,0,Random Vehicle
84,662.4271,615.1526,269.924,270.6751,0,116.6667,0,0,Random Vehicle
6,679.0938,791.5348,381.5924,400.654,1,74.25824,0,0,Random Vehicle
20,695.7604,798.613,504.191,709.0213,0,133.3334,0,0,Random Vehicle
50,695.7604,842.3226,682.9253,737.9283,0,100,0,0,Random Vehicle
43,758.5749,736.1907,404.1335,568.9559,0,100,0,0,Random Vehicle
58,854.3933,752.7879,617.3842,769.8049,0,33.33334,0,0,Random Vehicle
14,887.6146,747.2489,565.8336,799.8721,2,167.074,0,0,Random Vehicle
16,887.6146,1114.548,848.0754,1199.121,0,116.6667,0,0,Random Vehicle
73,887.6146,660.4585,478.4768,483.6418,2,95.42522,0,0,Random Vehicle
11,904.2813,1110.28,809.9681,1039.941,1,137.4734,0,0,Random Vehicle
38,920.948,1117.513,625.4606,839.5425,0,100,0,0,Random Vehicle
91,920.948,892.4807,668.2081,778.5074,0,183.3334,0,0,Random Vehicle
75,970.4747,1225.287,712.0087,792.2563,1,161.562,0,0,Random Vehicle
1,987.1414,1149.045,677.9962,934.4823,0,150,0,0,Random Vehicle
35,1002.317,983.0404,773.438,942.764,1,245.811,0,0,Random Vehicle
74,1050.47,1067.005,437.5236,598.2992,0,133.3334,0,0,Random Vehicle
79,1050.47,1334.733,1018.29,1297.96,0,150,0,0,Random Vehicle
90,1050.47,1058.391,815.1489,1110.309,1,300,0,0,Random Vehicle
69,1066.555,1346.585,907.4052,1071.495,1,81.26035,0,0,Random Vehicle
10,1115.181,1190.948,669.321,691.6652,1,183.3334,0,0,Random Vehicle
18,1130.135,1111.3,846.4063,1060.271,1,251.0645,0,0,Random Vehicle
26,1130.135,1223.348,669.7256,935.2982,1,141.1792,0,0,Random Vehicle
60,1161.729,1041.712,822.421,983.7308,1,259.1867,0,0,Random Vehicle
86,1161.729,1347.071,705.5004,750.6707,1,192.2713,0,0,Random Vehicle
87,1194.345,979.7687,814.9651,1102.363,1,111.8405,0,0,Random Vehicle
29,1211.012,1385.253,511.4551,518.738,1,150,0,0,Random Vehicle
42,1258.941,1056.463,737.9836,1005.771,3,110.0551,0,0,Random Vehicle
8,1291.314,1133.289,684.3177,741.7775,2,240.1659,0,0,Random Vehicle
55,1307.981,934.4417,746.7631,805.9079,0,33.33334,0,0,Random Vehicle
37,1324.342,1370.6,982.2347,1382.05,2,191.8933,0,0,Random Vehicle
45,1404.959,1452.312,1204.065,1699.896,2,193.2883,0,0,Random Vehicle
47,1436.703,2203.843,1521.992,1996.866,0,88.91445,0,0,Random Vehicle
85,1453.37,1456.866,1274.489,1642.703,2,195.5466,0,0,Random Vehicle
30,1470.036,1318.92,1007.024,1211.852,2,283.3334,0,0,Random Vehicle
44,1486.203,1357.631,679.7732,958.6786,1,190.3498,0,0,Random Vehicle
40,1534.873,1653.494,1406.032,1724.566,3,81.69724,0,0,Random Vehicle
